computer,280
on,244
research,213
home,193
science,191
university,166
department,150
<a,126
information,92
parallel,86
system,77
am,76
-,75
systems,70
software,62
web,60
about,60
project,58
work,56
distributed,54
computing,53
technical,51
i'm,51
interests,48
phone:,46
group,46
fax:,45
support,44
center,43
working,42
.,41
engineering,39
publications,37
performance,37
international,37
links,37
programming,36
network,36
1995,36
conference,33
computational,32
language,32
proceedings,31
associate,30
design,30
current,30
currently,30
stuff,30
1996,29
program,29
internet,29
office:,28
",",27
cs,27
pages,27
services,27
office,26
projects,26
report,26
m.,26
a.,26
e-mail:,26
sciences,26
university.,26
scout,26
email:,25
ph.d.,25
using,25
"systems,",25
world,25
college,25
data,24
tools,24
www,24
page.,24
time,23
&,23
include,23
personal,23
use,23
"science,",23
building,23
"university,",22
:,22
analysis,22
operating,22
papers,22
1994,22
contact,22
java,22
|,22
institute,21
processing,21
scientist,21
j.,21
incremental,21
k.,21
project.,21
get,21
"ithaca,",20
1996,20
memory,20
1995,20
staff,20
favorite,20
-607,19
involved,19
scientific,19
sparse,19
r.,19
technology,19
implementation,19
list,19
i've,19
net,19
unix,19
d.,18
used,18
s.,18
find,18
available,18
workshop,18
"york,",18
part,18
related,18
/,18
national,18
please,18
check,17
want,17
architecture,17
like,17
library,17
student,17
interested,17
address,17
interest,17
welcome,16
environment,16
mathematical,16
journal,16
techniques,16
applications,16
systems.,16
people,16
developed,16
laboratory,16
(in,16
room,16
send,16
assistant,16
school,16
tcl,16
search,16
two,15
things,15
ny,15
acm,15
y.,15
algorithms,15
make,15
security,15
server,15
compiler,15
worked,15
satoshi,15
-206,15
t.,14
code,14
number,14
computation,14
thesis,14
development,14
programs.,14
system.,14
file,14
here.,14
member,14
resources,14
site,14
manager,14
fortran,14
news,14
researcher,13
recent,13
selected,13
h.,13
machine,13
1,13
wide,13
professional,13
virtual,13
digital,13
object,13
received,13
students,13
version,13
academic,13
natural,13
database,13
email,13
science.,13
campus,13
lot,13
linux,13
theory,12
management,12
phone,12
hardware,12
symposium,12
communications,12
b.,12
lab,12
reference,12
online,12
visiting,12
on-line,12
"page,",12
<img,12
perl,12
don't,12
public,12
japanese),12
wi,12
dept.,11
fax,11
take,11
advanced,11
"computing,",11
problems,11
it.,11
study,11
full,11
(with,11
electrical,11
november,11
evaluation,11
reports,11
problem,11
developing,11
"seattle,",11
document,11
"report,",11
tool,11
set,11
keep,11
programmer,11
finger,11
tx,11
-409,11
--,11
look,11
know,11
electronic,10
mail:,10
horus,10
think,10
linear,10
solution,10
need,10
methods,10
generation,10
p.,10
global,10
general,10
computation.,10
society,10
text,10
c.,10
programs,10
running,10
applied,10
knowledge,10
modeling,10
info,10
process,10
group.,10
useful,10
image,10
provide,10
me.,10
user,10
great,10
saskatchewan,10
html,10
visit,10
go,10
"madison,",10
optimization,9
f.,9
numerical,9
high-speed,9
siam,9
1993,9
lisp,9
ieee,9
area,9
"project,",9
distribution,9
access,9
problems.,9
mobile,9
including,9
tech,9
pages.,9
open,9
automatic,9
learning,9
history,9
written,9
m.s.,9
prof.,9
d,9
massively,9
mail,9
languages,9
-->,9
pictures,9
here's,9
hotlist,9
postscript,9
value,9
1210,9
upson,8
communication,8
squares,8
october,8
december,8
l.,8
networks.,8
algorithm,8
14853,8
teitelbaum.,8
systematic,8
formal,8
nuprl,8
st.,8
1994,8
"conference,",8
compilers,8
xerox,8
consortium,8
networks,8
n.p.,8
(the,8
special,8
moved,8
based,8
original,8
job,8
put,8
me:,8
"me,",8
it's,8
operations,8
addition,8
graduate,8
help,8
networking,8
"station,",8
77843-3112,8
looking,8
<body,8
<!--,8
try,8
computers,8
guide,8
local,8
...,8
internic,8
requirements,8
"nayar,",8
linguistics,8
linguistic,8
"sekine,",8
wa,8
phd,7
protocol,7
"design,",7
fun,7
updated,7
cluster,7
real-time,7
application,7
message,7
february,7
"software,",7
toolkit,7
v.,7
"engineering,",7
multimedia,7
objects,7
appear,7
interface,7
annual,7
1993,7
g.,7
caching,7
"beijing,",7
july,7
la,7
dr.,7
simulation,7
grid,7
1991,7
dienst,7
web.,7
trust,7
"chrisochoides,",7
object-oriented,7
documents,7
course,7
made,7
questions,7
researchers,7
univ.,7
director,7
models,7
domain,7
paper,7
"hall,",7
motion,7
join,7
joined,7
users,7
information.,7
regular,7
studying,7
name,7
faq,7
education,7
tulane,7
background,7
847-8578,7
usenet,7
-713,7
var,7
speech,7
artificial,7
items,7
specialist,7
c,7
5,7
cmu,7
ftp,7
mbone,7
doing,7
survey,7
nsf,7
capture,7
pgp,7
352350,7
deviation,7
(and,6
atm,6
environments,6
software.,6
messages,6
issues,6
senior,6
mathematics,6
"philadelphia,",6
robbert,6
structures,6
done,6
address:,6
ithaca,6
type,6
tr,6
abstract,6
activities,6
transactions,6
deriving,6
"optimization,",6
shared,6
results,6
"china,",6
1992,6
scalable,6
includes,6
adaptive,6
implemented,6
goal,6
documentation,6
association,6
resource,6
collection,6
produced,6
order,6
work.,6
method,6
reading,6
writing,6
primary,6
available.,6
modified,6
modified:,6
data-parallel,6
principal,6
picture,6
top,6
service,6
teaching,6
resume,6
machines.,6
let,6
(see,6
year,6
semantics,6
life,6
moving,6
administrative,6
"however,",6
reach,6
doctoral,6
"time,",6
miscellaneous,6
curriculum,6
vitae,6
affiliations,6
(crpc),6
biology,6
title:,6
human,6
following,6
recently,6
212,6
department.,6
archive,6
getting,6
experimental,6
bit,6
intelligence,6
studies,6
de,6
"info,",6
e-mail,6
various,6
sfu,6
maintenance,6
administration,6
images,6
write,6
integrated,6
index,6
research:,6
weather,6
testing,6
environment.,6
doesn't,6
enjoy,6
years,6
statistics,6
graphics,6
numbering,6
u.s.,6
feel,6
videos),6
seminar,6
freebsd,6
liebrock,6
[,6
l.m.,6
],6
philosophy,6
sekine,6
98195,6
53706,6
molecular,6
post-doctoral,5
focus,5
horus.,5
needs,5
professor,5
algebra,5
efficient,5
computations,5
"system,",5
old,5
protocols,5
distributed-memory,5
"problems,",5
tell,5
e.,5
mapping,5
birman.,5
architecture.,5
called,5
introduction,5
interactive,5
talks,5
255-4428,5
provides,5
publications:,5
derivation,5
regional,5
__.,5
cs-tr,5
purdue,5
"6,",5
ibm,5
pp.,5
conditions,5
intermediate,5
"scientists,",5
mit,5
media,5
future,5
framework,5
world-wide,5
model,5
1989,5
"28,",5
servers,5
region,5
pde,5
report.,5
included,5
return,5
comments,5
inc.,5
talk,5
administrator,5
making,5
processes,5
position,5
say,5
groups,5
supported,5
maintain,5
projects:,5
netscape,5
2,5
"research,",5
emphasis,5
applications.,5
