http:^^www.cs.cornell.edu^Info^People^coleman^coleman.html,faculty,Cornell,0,75,175,0.7142857142857143,7.022857142857143,252,46,0.18253968253968253,0,1,0,2,0,2,8,10,10,11,8
http:^^www.cs.cornell.edu^Info^People^halpern^,faculty,Cornell,0,60,204,0.7598039215686274,5.200980392156863,108,28,0.25925925925925924,0,1,0,2,1,2,10,9,13,5,10
http:^^www.cs.cornell.edu^Info^People^kozen^kozen.html,faculty,Cornell,3,67,124,0.7661290322580645,6.596774193548387,695,68,0.09784172661870504,4,2,17,2,0,2,8,8,6,4,8
http:^^www.cs.cornell.edu^Info^People^mhr^mhr.html,faculty,Cornell,3,45,74,0.8108108108108109,6.891891891891892,136,29,0.21323529411764705,0,1,7,2,0,2,4,6,6,7,6
http:^^www.cs.cornell.edu^Info^People^lnt^lnt.html,faculty,Cornell,3,120,211,0.7725118483412322,6.14218009478673,1273,77,0.060487038491751764,1,1,30,2,0,0,1,2,2,0,3
http:^^www.cs.cornell.edu^Info^People^vavasis^vavasis.html,faculty,Cornell,1,106,365,0.7150684931506849,5.7315068493150685,218,42,0.1926605504587156,0,2,12,2,1,2,4,8,9,8,6
http:^^www.cs.cornell.edu^Info^People^jgm^home.html,faculty,Cornell,11,165,550,0.5563636363636364,6.276363636363636,304,101,0.33223684210526316,0,1,21,2,9,18,15,32,25,21,23
http:^^www.cs.cornell.edu^Info^People^samuel^,faculty,Cornell,-1,83,266,0.650375939849624,6.703007518796992,151,37,0.24503311258278146,0,3,7,2,2,5,8,19,14,14,10
http:^^www.cs.cornell.edu^Info^People^praveen^praveen.html,faculty,Cornell,1,106,94,0.9148936170212766,5.638297872340425,468,52,0.1111111111111111,8,0,6,2,0,3,1,3,4,4,2
http:^^www.cs.cornell.edu^Info^Department^Annual95^Faculty^Pingali.html,faculty,Cornell,20,138,686,0.6253644314868805,6.326530612244898,104,35,0.33653846153846156,0,3,3,2,7,8,8,23,21,24,9
http:^^www.cs.cornell.edu^Info^Faculty^rc^rc.html,faculty,Cornell,17,135,790,0.540506329113924,5.867088607594937,79,24,0.3037974683544304,1,1,3,2,8,8,14,32,26,23,23
http:^^www.cs.cornell.edu^Info^People^kleinber^kleinber.html,faculty,Cornell,-2,228,711,0.5372714486638537,6.70323488045007,776,151,0.19458762886597938,0,3,2,2,1,5,15,21,21,17,14
http:^^www.cs.cornell.edu^Info^People^sam^sam.html,faculty,Cornell,-7,119,544,0.5386029411764706,5.759191176470588,317,50,0.15772870662460567,4,0,15,2,3,3,11,19,22,18,14
http:^^www.cs.cornell.edu^Info^People^tt^Tim_Teitelbaum.html,faculty,Cornell,1,38,30,0.9666666666666667,8.966666666666667,146,31,0.21232876712328766,0,2,0,2,0,2,3,6,3,2,4
http:^^www.cs.cornell.edu^Info^Department^Annual95^Faculty^Greenberg.html,faculty,Cornell,4,93,354,0.6214689265536724,6.785310734463277,82,35,0.4268292682926829,0,3,3,2,1,0,10,11,9,10,10
http:^^www.cs.cornell.edu^Info^People^eva^eva.html,faculty,Cornell,-3,165,730,0.4575342465753425,5.947945205479452,229,69,0.30131004366812225,1,3,0,2,5,3,11,17,12,12,10
http:^^www.cs.cornell.edu^Info^People^tah^tah.html,faculty,Cornell,2,69,142,0.6690140845070423,6.359154929577465,432,45,0.10416666666666667,0,2,15,2,1,2,5,13,11,10,11
http:^^www.cs.cornell.edu^Info^People^dean^dean.html,faculty,Cornell,1,114,148,0.7567567567567568,5.804054054054054,1092,107,0.09798534798534798,0,0,24,2,0,6,10,4,4,2,5
http:^^www.cs.cornell.edu^Info^People^dph^dph.html,faculty,Cornell,2,154,379,0.5699208443271768,9.443271767810026,200,33,0.165,0,1,0,2,2,2,4,4,6,4,5
http:^^www.cs.cornell.edu^Info^Faculty^Brian_Smith.html,faculty,Cornell,18,271,1172,0.492320819112628,5.786689419795222,795,102,0.12830188679245283,0,1,0,2,10,9,42,52,44,55,43
http:^^www.cs.cornell.edu^Info^People^brd^brd.html,faculty,Cornell,7,492,1247,0.4739374498797113,8.99037690457097,6792,200,0.02944640753828033,6,2,30,2,6,12,18,36,20,24,22
http:^^www.cs.cornell.edu^Info^People^gries^gries.html,faculty,Cornell,20,159,932,0.5718884120171673,4.99892703862661,326,50,0.15337423312883436,1,1,1,2,3,8,13,25,18,14,16
http:^^www.cs.cornell.edu^Info^Department^Annual95^Faculty^Hopcroft.html,faculty,Cornell,1,86,283,0.6713780918727915,6.982332155477032,87,35,0.40229885057471265,0,3,3,2,2,4,17,22,15,16,17
http:^^www.cs.cornell.edu^Info^People^ronitt^homepage.html,faculty,Cornell,-2,98,98,0.826530612244898,6.418367346938775,285,46,0.16140350877192983,0,3,10,2,0,1,6,5,4,1,6
http:^^www.cs.cornell.edu^Info^Department^Annual95^Faculty^Birman.html,faculty,Cornell,14,123,575,0.6226086956521739,6.0486956521739135,106,36,0.33962264150943394,0,3,3,2,3,4,15,33,31,28,18
http:^^www.cs.cornell.edu^Info^People^rdz^rdz.html,faculty,Cornell,8,58,352,0.6619318181818182,5.806818181818182,661,73,0.11043872919818457,1,1,16,2,7,2,7,7,7,4,7
http:^^www.csc.ncsu.edu^faculty^PIyer^,faculty,misc,0,136,199,0.7085427135678392,6.688442211055277,174,73,0.41954022988505746,0,2,15,0,0,1,9,11,8,7,9
http:^^www.cs.cornell.edu^Info^Department^Annual95^Faculty^Wagner.html,faculty,Cornell,-1,62,117,0.7521367521367521,6.3931623931623935,66,30,0.45454545454545453,0,3,2,2,1,2,7,4,4,2,4
